Rank this Wk,3 Wks ago,6 Wks ago,Industry Group Name,Group Composite Rating,YTD % Change,Day's % Change
1,1,1,  Telcom-Fibr Optcs,92,109,8.6
2,2,2,  Comptr-Data Strge,93,74.9,0.6
3,4,5,  Oil&Gas-Drilling,86,31.4,1.6
4,16,61,  Oil&Gas-Intl Expl Pr,82,45.5,1.8
5,3,4,  Elec-Semicndctr Eqp,91,35.5,-1
6,12,14,  Oil&Gas-Field Servic,90,36.5,0.9
7,24,48,  Oil&Gas Integrated,88,34.5,1.3
8,14,8,  Elec-Parts,94,25.8,0.3
9,5,29,  Oil&Gascdn Expl Pro,..    ,42.7,2.5
10,31,12,  Transportation-Ship,90,29.5,1.7
11,37,41,  Dvrsified Oprtions,75,17.4,0
12,36,80,  Agricultural Oprtions,87,32.9,0.6
13,6,3,  Mining-Gld/Silvr/Gms,98,16.2,-0.2
14,8,15,  Elec-Scntific/Msrng,86,25.4,-0.4
15,26,10,  Telcom-Cbl/Sat Eqp,90,23,4.2
16,25,25,  Medical-Biomed/Bth,79,1.3,-0.1
17,17,20,  Bldg-Heavy Constr,87,31.7,-0.4
18,18,19,  Oil&Gas-Mchnry/Eq,90,13.7,1.2
19,21,49,  Oil&Gas-Rfing/Mkt,89,36.3,1.1
20,77,86,  Chemicals-Basic,76,26.6,-0.1
21,7,18,  Oil&Gas-Royalty Trust,..    ,42.9,1.6
22,13,9,  Elec-Semicon Mfg,85,19.5,1.1
23,15,76,  Chemicals-Ag,94,32.8,1.9
24,27,87,  Oil&Gas-U S Expl Pro,87,25.6,1.7
25,38,36,  Oil&Gas-Trnsprt/Pip,88,24.3,2
26,9,7,  Mchinry-Cnstr/Mng,88,23.6,-1.9
27,32,147,  Telcom Svc-Wirles,78,13.2,2.7
28,19,17,  Trnsprt-Air Freight,..    ,18.1,0.5
29,20,11,  Electrical Power/Eqpmt,91,21.9,-0.9
30,44,22,  Elec-Contract Mfg,95,14.6,1.6
31,45,42,  Energy-Alt/Other,91,7.7,0.3
32,11,6,  Mining-Metal Ores,86,12.1,0.2
33,22,13,  Aerospace/Defense,90,9.4,-0.1
34,23,16,  Bldg-A/C & Heating P,84,22.5,0.5
35,78,52,  Chemicals-Specialty,83,6.4,0.1
36,29,21,  Telcom-Infrastr,94,31.1,2.2
37,40,50,  Telecom Svcs-Foreign,82,6.1,-0.4
38,87,111,  Retail-Drug Stores,..    ,-2.9,-2.9
39,34,55,  Medical-Ethical Drgs,85,4.2,-0.8
40,35,24,  Transport-Logistics,82,10,0.7
41,51,32,  Trnsportation-Trck,..    ,13.3,0.4
42,10,33,  Med-Long-Trm Care,94,10.9,0.3
43,48,69,  Retail-Spr/Mini Mkts,80,24.8,1.3
44,85,95,  Chemicals-Plastics,..    ,23.9,-0.5
45,33,53,  Retail-Mjr Dsc Chns,82,18.4,1.5
46,28,27,  Metal Proc & Fabrica,86,9,-0.7
47,43,28,  Steel-Producers,..    ,5.1,-0.8
48,39,58,  Telcom-Svc-Cbl/Sat,..    ,9,6.9
49,42,64,  Bev-Non-Alcoholic,80,5.6,-0.2
50,101,78,  Leisure-Services,74,5.8,1.6
51,58,40,  Trnsprt-Eqp Mfg,88,16,-0.6
52,30,45,  Mdcal-Whlsle Drg,..    ,4.4,1.5
53,66,81,  Retail-Discnt&Vari,75,1.5,1.5
54,49,26,  Banks-Foreign,87,4.9,-0.6
55,41,23,  Trucks & Parts-Hvy D,79,9.6,-0.2
56,47,30,  Bldg-Mntnance & S,88,18.2,-0.6
57,67,60,  Auto/Trck-Tirs & M,..    ,13.9,-1.1
58,59,83,  Media-Newspapers,69,7.9,3.3
59,106,112,  Utility-Elctric Pwr,83,5.6,0.3
60,84,74,  Leisure-Lodging,78,4.7,-0.2
61,68,116,  Food-Grain & Related,..    ,17.6,1.4
62,71,79,  Financ-Svings & Lo,87,3.9,0.1
63,54,54,  Energy Coal,..    ,8.1,3.4
64,86,73,  Banks-Northeast,91,5.4,0.6
65,56,77,  Wholesale-Food,75,10.2,-1.2
66,62,110,  Utility-Gas Dstribtn,82,14.4,1.9
67,104,93,  Retail-Apprl/Shoes/Acc,67,-5.5,-1.2
68,52,39,  Mchnry-Gen Indstrl,86,5.8,-1
69,46,71,  Leisr-Tys/Gms/Hbby,..    ,5.8,0.9
70,73,109,  Finance-Property Reit,..    ,4.4,1.5
71,61,103,  Utility-Diversified,79,8.4,1.2
72,83,96,  Banks-Midwest,89,5.8,0.3
73,72,43,  Auto/Trck-Orgnl Eqp,78,2.5,-1.4
74,64,37,  Elec-Semicon Fblss,91,5,0.5
75,95,89,  Financial Svc-Spec,71,-7.2,1.2
76,110,35,  Steel-Spclty Alloys,..    ,-15.5,0.2
77,57,59,  Machinery-Farm,..    ,12.2,-1.4
78,53,46,  Fin-Publ Inv Fd-Gl,..    ,0.9,-1
79,97,90,  Banks-Southeast,86,-3.1,0.4
80,96,107,  Machnry-Tools & Re,81,6.6,-0.1
81,111,99,  Banks-Wst/Sthwst,85,1.7,0
82,92,115,  Pollution Control,86,3.4,1.7
83,75,94,  Office Supplies Mfg,..    ,1.1,-1.1
84,99,88,  Medical-Products,74,-9.4,-0.1
85,79,113,  Insrnce-Prp/Cas/Titl,75,-7.2,0.3
86,50,47,  Medical-Diversified,92,-9.6,-0.9
