Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Spon Rating,Ind Grp RS,PE Ratio,Vol- 50 Day Avg. (1000s)
AAAC,19.99,,0.05,0.0,,50,C+,,,,C+,,5
AAUS,52.79,,0.06,0.0,,50,B-,,,,C+,,0
ABI,24.89,,0.16,0.0,,50,A+,,,C,C+,,0
ABOT,33.49,,0.69,0.0,,24,D+,,,,C+,,0
ABUF,25.14,,,0.0,,50,,,,,C+,,0
ABXB,19.34,,0.10,0.0,,43,D-,,,,C+,,0
ACGR,60.04,,0.10,0.0,,43,B,,,,C+,,2
ACQC,12.26,,0.00,0.0,17,39,C-,4,,,D-,,0
ACSI,64.88,,0.28,0.0,,53,C+,,,,C+,,0
ACVT,26.10,,-0.08,0.0,,43,C+,,,,C+,,2
AFT,14.86,,0.00,0.0,,56,C,,,,D+,,
AGGS,40.83,,0.22,0.0,,43,D-,,,,C+,,1
AIF,14.82,,0.00,0.0,,53,C+,,,,D+,,
AIIA,10.04,,0.00,0.0,43,53,A,3,,,C,,25
AINT,24.84,,0.20,0.0,,38,,,,,C+,,3
AKAF,31.15,,0.26,0.0,,77,C+,,,,C+,,0
ALDF,10.56,,0.00,-98,47,56,D+,35,,E,C,42,6
ALIS,9.98,,0.00,0.0,41,53,C-,20,,,C,,18
ALOR,10.88,,0.00,0.0,60,74,C-,49,,E,C,121,
ALPX,0.00,,,0.0,,,C+,,,,,,
ALRG,26.75,,0.15,0.0,,56,E,,,,C+,,0
ALUB,9.98,,0.00,0.0,45,50,B+,12,,,C,,46
ANEW,45.67,,0.01,0.0,,29,A-,,,,C+,,0
APAC,10.05,,0.00,0.0,30,53,E,12,,,C,,12
APXM,31.33,,-0.03,0.0,,59,A+,,,,C+,,0
ARCM,100.10,,0.03,0.0,,50,E,,,,C+,,0
AREB,6.46,,0.00,0.0,3,1,E,63,E,,D,,41
ARKD,18.78,,0.11,0.0,,28,C+,,,,C+,,0
ARKI,20.25,,,100,,43,,,,,C+,,0
ARLI,25.02,,,-94,,50,,,,,C+,,102
ARMY,26.48,,0.15,0.0,,67,C+,,,,C+,,2
ARTC,9.81,,0.00,0.0,32,50,,3,,,C,,46
ARVR,44.91,,-0.07,0.0,,38,C+,,,,C+,,0
ASGM,28.49,,0.18,0.0,,72,B+,,,,C+,,0
ATGL,14.97,,0.00,0.0,8,10,B-,6,D,,C+,,5
ATII,10.41,,0.00,0.0,61,56,D,79,,E,C,40,51
AUGT,35.08,,0.06,0.0,,62,C-,,,,C+,,1
AZTD,29.21,,-0.44,0.0,,74,B-,,,,C+,,0
BAYA,11.95,,0.00,0.0,43,65,B-,4,,E,C,398,2
BBBL,47.67,,0.59,0.0,,38,D+,,,,C+,,0
